region,gas,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BELGIUM,HFC23,6.546e-05,0.00011858,0.00011821,0.000105,8.3e-05,0.000146,0.0001254,0.0001894,9.71e-05,0.00013063,0.00011265,0.00011015,8.606e-05,0.00010759,0.000162,0.000218,0.000157,0.00017347,0.00017729333333333
BELGIUM,HFC32,0.015144243835554,0.018166680142442,0.025813499319857002,0.027878127405391,0.033333446804644,0.036175817865255006,0.043150044713068,0.047026622340807,0.052663091967928,0.062596317456569,0.064506147509783,0.07313008430412299,0.08297797075191,0.095846993781116,0.10957738882558,0.12020280679512667,0.13828393991597002,0.15242958862758335,0.16671365522825776
BELGIUM,HFC125,0.13720395454134,0.14831585712808,0.17595629734808,0.18413838058444001,0.18812845905300002,0.20614788199039,0.22971946018059,0.24679659914851,0.25764847687213,0.27798267298645996,0.28072144791935,0.28300446954774,0.29820972103333,0.30938876458288,0.29825208173190004,0.27343826528292536,0.2572131598389543,0.2487320165642925,0.24165860233511002
BELGIUM,HFC143a,0.12446707550036,0.13516226616588,0.15080096185111,0.15891371409456,0.16464195231956,0.17394689806549,0.18211730081369,0.19498099346588,0.20062224894581,0.20301353765759,0.1977013435623,0.18917411955896,0.1817392888763,0.18279388918811,0.15951311480973,0.13908567166586,0.12128122613585,0.10077700511842,0.08119830188799
BELGIUM,HFC152a,0.0037434920696702,0.0031044743258631,0.0080330390740873,0.012333608053706,0.011318257901906,0.0098578489112271,0.0041112356925153,0.0023083168300267,0.0014314203303948,0.0016385881896609,0.0020243965354924,0.0019075983303884,0.00065664753229899,0.0012153407,0.00080696574600001,0.0016075493946667,0.0016035100262222,0.0017368433595556,0.0020468025640741
BELGIUM,HFC227ea,0.0070789,0.007187252,0.006943543,0.0071710739999999995,0.006017712,0.010715394999999999,0.013104053,0.0137242014,0.009419544,0.014197597,0.015222082,0.013111854,0.017334995,0.008741460533663,0.0162809075803793,0.010345252760984,0.00446691870766269,0.00418506530408389,0.00399230391517919
BELGIUM,HFC245ca,0.010612882,0.017441065,0.000288161,0.000286527,0.000606683,0.000601572,0.000635051,0.000853814,0.000777726,0.000806603,0.000795183,0.000710998,0.000518374,0.000516557,0.00051327880235523,0.00016922163354457,0.00016795247129299,5.1750961723987e-05,5.1750961723987e-05
BELGIUM,HFC4310mee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA,CO2,55691.253235947384,57423.88197336995,60687.81273773041,58436.55502419334,50129.787340595474,54130.324368104535,59800.15912569625,55248.99837642358,50329.83633118999,53021.57601084418,55615.524146135416,53410.89928527191,55769.946139873595,54379.44746417859,53335.7774535825,48229.275878672284,55557.815034523635,59185.19447300752,48990.141918618756
BULGARIA,CH4,367.39112104772994,364.40224345127785,367.60382226928107,360.0094624990594,351.3991661160162,343.9759256223021,351.57981866764896,328.07435107285795,318.58576071032115,286.35723865097304,351.45685184484785,344.3633378742626,353.2031058452962,332.00014288136487,322.34536851987224,327.07704921657734,327.9026854096368,323.8119469080253,304.2656906849006
BULGARIA,N2O,11.084094777076439,10.264182078751306,10.35972711117719,10.013541039382392,9.9242629176407,9.991092065942542,10.114881594304443,10.92074476610055,11.735324139235482,13.64594382833485,12.571497159154184,14.120029037898092,13.92430182762062,13.815817424168895,14.127416763859616,14.330078560816037,14.786693704155079,14.503588746495982,14.248931062477329
BULGARIA,PFCs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA,SF6,0.00065014264766946,0.00067549807992857,0.00070184320304579,0.00072921425996457,0.00075765432210319,0.0011764001636476,0.0012251898508306,0.0012483808606557,0.0014701856882841,0.0013917235491803,0.0014527080936175,0.0015036667288415,0.0014725491272568,0.0014934786354535,0.0015111914094617,0.0016286805819309,0.0017591373276145,0.0018366366797365,0.0019451184364947
BULGARIA,HFC134a,0.083494146534378,0.12249393361065,0.13638799118642,0.2432246424927,0.22195399187062,0.22454190744439,0.24448076150559,0.25328798200974,0.28574941097083,0.32685676675838,0.35588086563345,0.37215087165843,0.36328549644065,0.36468395571726,0.38810035889354,0.38663231440614,0.34333656147004,0.33622076338763,0.31892756488566
BULGARIA,HFC23,0.0,0.0,0.0,0.0,0.0,0.0,3.29873e-06,2e-05,8e-07,1.50687e-06,1.4e-06,1.4e-06,9.4112e-06,3.273e-05,0.0114482535075,0.015263871343333,0.020348691391111,0.027120678521481,0.032344820192809
